"Sample_ID","ID.short","Hapke_ID","Joerg_ID2","Joerg_ID","Originalbezeichnung","tubeID","Duke_box","cell","Transect","ULM","Duke","habitat","habitat2","locality","GridKoord","SiteID","Site_ne_2006","PointsID","lat","long","year","sex","body_mass","mtHap","species","species_mtDNA","hybrid","DNAconc","DNAamount","SentToPaulHohenlohe_181127","sequenced_181127","remarks_JP","GenBank_accession","Hapke_mtID","HV1_haplotype_label","lat.hapke","lon.hapke"
"TM42","mmur072","Tml_Mm_Hamb079","TM 42","TM 42","42","0","4",110,"T22","100",30,"Dry spiny forest","","Tsimelahy","B01","TM","TMB01","TMB01","S24 56 52,94","E046 37 15,87",2008,"m","45","","mmur","mmur","NH",12.1,350.9,"1",1,"","JF510294","murinus","CR",-24.9480388888889,46.621075
"TM43","mmur073","Tml_Mm_Hamb080","TM 43","TM 43","43","0","4",149,"T21","100",30,"Gallery forest","","Tsimelahy","A13","TM","TMA13","TMA13","S24 57 27,09","E046 37 01,58",2008,"m","56","","mmur","mmur","NH",20.8,603.2,"1",1,"","JF510295","murinus","CR",-24.957525,46.6171055555556
"TM44","mmur074","Tml_Mm_Hamb081","TM 44","TM 44","44","0","4",150,"T25","100",30,"Gallery forest","","Tsimelahy","REFA","TM","TMREFA","TMREFA","S24 57 17,65","E046 37 10,06",2008,"m","57","","mmur","mmur","NH",9.8,283.04,"1",1,"","JF510296","murinus","CT",-24.9549027777778,46.6194611111111
"TM46","mgri100","Tml_Mg_Hamb082","TM 46","TM 46","46","0","4",48,"T24","100",30,"Dry spiny forest","","Tsimelahy","D10","TM","TMD10","TMD10","S24 57 19,98","E046 36 45,90",2008,"f","52","","mgri","mgri","NH",19.4,562.6,"1",1,"","JF510190","griseorufus","CW",-24.95555,46.61275
"TM47","mmur075","Tml_Mm_Hamb083","TM 47","TM 47","47","0","4",111,"T22","100",30,"Dry spiny forest","","Tsimelahy","B00","TM","TMB00","TMB00","S24 56 52,67","E046 37 16,57",2008,"m","61","","mmur","mmur","NH",11.4,330.6,"1",1,"","JF510297","murinus","CT",-24.9479638888889,46.6212694444444
"TM48","mmur076","Tml_Mm_Hamb084","TM 48","TM 48","48","0","4",171,"T22","100",30,"Dry spiny forest","","Tsimelahy","B04","TM","TMB04","TMB04","S24 56 54,87","E046 37 14,00",2008,"f","75","","mmur","mmur","NH",31,899,"1",1,"","JF510298","murinus","CR",-24.948575,46.6205555555556
"TM49","mgri101","Tml_Mg_Hamb085","TM 49","TM 49","49","0","4",49,"T24","100",30,"Dry spiny forest","","Tsimelahy","D11","TM","TMD11","TMD11","S24 57 20,08","E046 36 45,08",2008,"m","49","","mgri","mgri","NH",14.7,426.3,"1",1,"","JF510191","griseorufus","CU",-24.9555777777778,46.6125222222222
"TM50","mgri102","Tml_Mg_Hamb086","TM 50","TM 50","50","0","4",50,"T26","100",30,"Dry spiny forest","","Tsimelahy","E01","TM","TME01","TME01","S24 57 20,96","E046 36 49,11",2008,"m","56","","mgri","mgri","NH",4.6,132.24,"1",1,"","JF510192","griseorufus","CV",-24.9558222222222,46.6136416666667
"TM51","mgri103","Tml_Mg_Hamb087","TM 51","TM 51","51","0","4",51,"T26","100",30,"Dry spiny forest","","Tsimelahy","E13","TM","TME13","TME13","S24 57 22,36","E046 36 59,37",2008,"f","49","","mgri","mgri","NH",16.9,490.1,"1",1,"","JF510193","griseorufus","CU",-24.9562111111111,46.6164916666667
"TM52","mgri104","Tml_Mg_Hamb088","TM 52","TM 52","52","0","4",52,"T26","100",30,"Dry spiny forest","","Tsimelahy","E09","TM","TME09","TME09","S24 57 22,77","E046 36 55,79",2008,"f","72","","mgri","mgri","NH",22.2,643.8,"1",1,"","JF510194","griseorufus","CW",-24.956325,46.6154972222222
"TM53","mmur077","Tml_Mm_Hamb089","TM 53","TM 53","53","0","4",152,"T26","100",30,"Gallery forest","","Tsimelahy","E19","TM","TME19","TME19","S24 57 22,94","E046 37 02,23",2008,"m","54","","mmur","mmur","NH",28.2,817.8,"1",1,"","JF510299","murinus","CR",-24.9563722222222,46.6172861111111
